===== METRIC RESULTS =====

--- Partition 1 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_1.tsv | type=1 | weighted=0 | Metric=-270.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=1 | weighted=2 | Metric=-6.40263
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=0 | Metric=-255.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=1 | Metric=-5099.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_8.tsv | type=2 | weighted=2 | Metric=-12.75263

--- Partition 9 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=1 | weighted=0 | Metric=-381.50000
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=1 | weighted=1 | Metric=-5214.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=1 | weighted=2 | Metric=-27.94780
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=2 | weighted=0 | Metric=-636.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=2 | weighted=1 | Metric=-8777.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_9.tsv | type=2 | weighted=2 | Metric=-46.12637
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=1 | weighted=0 | Metric=6649.34002
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=1 | weighted=1 | Metric=322019.41169
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=1 | weighted=2 | Metric=140.00803
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=2 | weighted=0 | Metric=177038.00000
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=2 | weighted=1 | Metric=9918303.00000
File=./adjClust_results/results/classic_clustering_upper_merge_9.tsv | type=2 | weighted=2 | Metric=3180.33494
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=0 | Metric=-47.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=1 | Metric=-300.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=2 | Metric=-7.54762
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=0 | Metric=-63.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=1 | Metric=-409.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=2 | Metric=-9.76190
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=0 | Metric=-10.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=1 | Metric=-139.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=2 | Metric=-0.71978
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=0 | Metric=-19.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=1 | Metric=-265.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=2 | Metric=-1.36264
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=0 | Metric=-637.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=1 | Metric=-8542.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=1 | weighted=2 | Metric=-47.73077
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=0 | Metric=-765.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=1 | Metric=-10455.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_9.tsv | type=2 | weighted=2 | Metric=-56.23077

--- Partition 10 ---
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=1 | weighted=0 | Metric=-258.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=1 | weighted=1 | Metric=-3869.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=1 | weighted=2 | Metric=-17.20476
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=2 | weighted=0 | Metric=-515.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=2 | weighted=1 | Metric=-7724.00000
File=./adjClust_results/results/adjclust_clustering_upper_merge_10.tsv | type=2 | weighted=2 | Metric=-34.33810
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=1 | weighted=0 | Metric=1687.21228
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=1 | weighted=1 | Metric=319806.29794
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=1 | weighted=2 | Metric=8.90197
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=2 | weighted=0 | Metric=212632.00000
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=2 | weighted=1 | Metric=41018349.00000
File=./adjClust_results/results/classic_clustering_upper_merge_10.tsv | type=2 | weighted=2 | Metric=1102.26928
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=0 | Metric=-19.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=1 | Metric=-120.50000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=2 | Metric=-3.16667
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=0 | Metric=-23.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=1 | Metric=-145.00000
File=./adjClust_results/results/sorted_avg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=2 | Metric=-3.66667
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=0 | Metric=-1022.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=1 | Metric=-15841.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=2 | Metric=-66.00417
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=0 | Metric=-1533.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=1 | Metric=-24017.00000
File=./adjClust_results/results/sorted_med_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=2 | Metric=-97.94167
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=0 | Metric=-67.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=1 | Metric=-1083.50000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=1 | weighted=2 | Metric=-4.20588
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=0 | Metric=-71.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=1 | Metric=-1143.00000
File=./adjClust_results/results/sorted_genAlg_upper_matrix_clusters_merge_10.tsv | type=2 | weighted=2 | Metric=-4.41176
